index,English,Korean
0,The Eiffel Tower,에펠탑
1,The Great Wall of China,만리장성
2,The Mona Lisa,모나리자
3,aircraft carrier,항공모함
4,airplane,비행기
5,alarm clock,알람 시계
6,ambulance,구급차
7,angel,천사
8,animal migration,동물의 이동
9,ant,개미
10,anvil,모루
11,apple,사과
12,arm,팔
13,asparagus,아스파라거스
14,axe,도끼
15,backpack,배낭
16,banana,바나나
17,bandage,반창고
18,barn,헛간
19,baseball,야구
20,baseball bat,야구 방망이
21,basket,바구니
22,basketball,농구
23,bat,박쥐
24,bathtub,욕조
25,beach,해변
26,bear,곰
27,beard,수염
28,bed,침대
29,bee,벌
30,belt,벨트
31,bench,벤치
32,bicycle,자전거
33,binoculars,쌍안경
34,bird,새
35,birthday cake,생일 케이크
36,blackberry,블랙베리
37,blueberry,블루베리
38,book,책
39,boomerang,부메랑
40,bottlecap,뚜껑
41,bowtie,보타이
42,bracelet,팔찌
43,brain,뇌
44,bread,빵
45,bridge,다리
46,broccoli,브로콜리
47,broom,빗자루
48,bucket,양동이
49,bulldozer,불도저
50,bus,버스
51,bush,수풀
52,butterfly,나비
53,cactus,선인장
54,cake,케이크
55,calculator,계산기
56,calendar,달력
57,camel,낙타
58,camera,카메라
59,camouflage,위장
60,campfire,모닥불
61,candle,촛불
62,cannon,대포
63,canoe,카누
64,car,자동차
65,carrot,당근
66,castle,성
67,cat,고양이
68,ceiling fan,천장 선풍기
69,cell phone,휴대폰
70,cello,첼로
71,chair,의자
72,chandelier,샹들리에
73,church,교회
74,circle,원
75,clarinet,클라리넷
76,clock,시계
77,cloud,구름
78,coffee cup,커피 컵
79,compass,나침반
80,computer,컴퓨터
81,cookie,쿠키
82,cooler,쿨러
83,couch,소파
84,cow,소
85,crab,게
86,crayon,크레용
87,crocodile,악어
88,crown,왕관
89,cruise ship,크루즈선
90,cup,컵
91,diamond,다이아몬드
92,dishwasher,식기세척기
93,diving board,다이빙대
94,dog,개
95,dolphin,돌고래
96,donut,도넛
97,door,문
98,dragon,용
99,dresser,옷장
100,drill,드릴
101,drums,북
102,duck,오리
103,dumbbell,아령
104,ear,귀
105,elbow,팔꿈치
106,elephant,코끼리
107,envelope,봉투
108,eraser,지우개
109,eye,눈
110,eyeglasses,안경
111,face,얼굴
112,fan,선풍기
113,feather,깃털
114,fence,울타리
115,finger,손가락
116,fire hydrant,소화전
117,fireplace,벽난로
118,firetruck,소방차
119,fish,물고기
120,flamingo,홍학
121,flashlight,손전등
122,flip flops,슬리퍼
123,floor lamp,스탠드
124,flower,꽃
125,flying saucer,비행접시
126,foot,발
127,fork,포크
128,frog,개구리
129,frying pan,프라이팬
130,garden,정원
131,garden hose,호스
132,giraffe,기린
133,goatee,수염
134,golf club,골프채
135,grapes,포도
136,grass,풀
137,guitar,기타
138,hamburger,햄버거
139,hammer,망치
140,hand,손
141,harp,하프
142,hat,모자
143,headphones,헤드폰
144,hedgehog,고슴도치
145,helicopter,헬리콥터
146,helmet,헬멧
147,hexagon,육각형
148,hockey puck,하키 퍽
149,hockey stick,하키 스틱
150,horse,말
151,hospital,병원
152,hot air balloon,열기구
153,hot dog,핫도그
154,hot tub,온수 욕조
155,hourglass,모래시계
156,house,집
157,house plant,실내식물
158,hurricane,허리케인
159,ice cream,아이스크림
160,jacket,재킷
161,jail,감옥
162,kangaroo,캥거루
163,key,열쇠
164,keyboard,키보드
165,knee,무릎
166,knife,칼
167,ladder,사다리
168,lantern,등불
169,laptop,노트북
170,leaf,잎
171,leg,다리
172,light bulb,전구
173,lighter,라이터
174,lighthouse,등대
175,lightning,번개
176,line,선
177,lion,사자
178,lipstick,립스틱
179,lobster,바닷가재
180,lollipop,막대사탕
181,mailbox,우편함
182,map,지도
183,marker,마커
184,matches,성냥
185,megaphone,확성기
186,mermaid,인어
187,microphone,마이크
188,microwave,전자레인지
189,monkey,원숭이
190,moon,달
191,mosquito,모기
192,motorbike,오토바이
193,mountain,산
194,mouse,쥐
195,moustache,콧수염
196,mouth,입
197,mug,컵
198,mushroom,버섯
199,nail,못
200,necklace,목걸이
201,nose,코
202,ocean,바다
203,octagon,팔각형
204,octopus,문어
205,onion,양파
206,oven,오븐
207,owl,올빼미
208,paint can,페인트통
209,paintbrush,붓
210,palm tree,야자수
211,panda,판다
212,pants,바지
213,paper clip,클립
214,parachute,낙하산
215,parrot,앵무새
216,passport,여권
217,peanut,땅콩
218,pear,배
219,peas,완두콩
220,pencil,연필
221,penguin,펭귄
222,piano,피아노
223,pickup truck,픽업트럭
224,picture frame,액자
225,pig,돼지
226,pillow,베개
227,pineapple,파인애플
228,pizza,피자
229,pliers,뜀박질
230,police car,경찰차
231,pond,연못
232,pool,수영장
233,popsicle,아이스 스크림
234,postcard,엽서
235,potato,감자
236,power outlet,전원 콘센트
237,purse,지갑
238,rabbit,토끼
239,raccoon,너구리
240,radio,라디오
241,rain,비
242,rainbow,무지개
243,rake,갈퀴
244,remote control,리모컨
245,rhinoceros,코뿔소
246,rifle,소총
247,river,강
248,roller coaster,롤러코스터
249,rollerskates,롤러스케이트
250,sailboat,요트
251,sandwich,샌드위치
252,saw,톱
253,saxophone,색소폰
254,school bus,통학버스
255,scissors,가위
256,scorpion,전갈
257,screwdriver,드라이버
258,sea turtle,바다거북
259,see saw,시소
260,shark,상어
261,sheep,양
262,shoe,신발
263,shorts,반바지
264,shovel,삽
265,sink,싱크대
266,skateboard,스케이트보드
267,skull,해골
268,skyscraper,고층 빌딩
269,sleeping bag,침낭
270,smiley face,웃는 얼굴
271,snail,달팽이
272,snake,뱀
273,snorkel,스노클링
274,snowflake,눈송이
275,snowman,눈사람
276,soccer ball,축구공
277,sock,양말
278,speedboat,모터보트
279,spider,거미
280,spoon,숟가락
281,spreadsheet,스프레드시트
282,square,정사각형
283,squiggle,구불구불한 선
284,squirrel,다람쥐
285,stairs,계단
286,star,별
287,steak,스테이크
288,stereo,스테레오
289,stethoscope,청진기
290,stitches,바느질
291,stop sign,정지 신호
292,stove,가스레인지
293,strawberry,딸기
294,streetlight,가로등
295,string bean,강낭콩
296,submarine,잠수함
297,suitcase,여행 가방
298,sun,태양
299,swan,백조
300,sweater,스웨터
301,swing set,그네
302,sword,칼
303,syringe,주사기
304,t-shirt,티셔츠
305,table,테이블
306,teapot,주전자
307,teddy-bear,테디베어
308,telephone,전화
309,television,텔레비전
310,tennis racquet,테니스 라켓
311,tent,천막
312,tiger,호랑이
313,toaster,토스터
314,toe,발가락
315,toilet,화장실
316,tooth,이
317,toothbrush,칫솔
318,toothpaste,치약
319,tornado,토네이도
320,tractor,트랙터
321,traffic light,신호등
322,train,기차
323,tree,나무
324,triangle,삼각형
325,trombone,트롬본
326,truck,트럭
327,trumpet,트럼펫
328,umbrella,우산
329,underwear,속옷
330,van,밴
331,vase,화병
332,violin,바이올린
333,washing machine,세탁기
334,watermelon,수박
335,waterslide,워터슬라이드
336,whale,고래
337,wheel,바퀴
338,windmill,풍차
339,wine bottle,와인병
340,wine glass,와인잔
341,wristwatch,손목시계
342,yoga,요가
343,zebra,얼룩말
344,zigzag,지그재그
